,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
0,Хімія,Харківський національний університет імені В.Н. Каразіна,177.9258243478261,100.0,55.10434782608696,44.89565217391304,183.3891261756181,193.03826086956522,200.0,134.19255652173914,200.0,157.35705739130435
214,"Фінанси,банківськасправатастрахування",Харківський національний університет імені В.Н. Каразіна,164.59928453038677,99.65469613259668,30.484806629834253,69.16988950276243,179.98142412742263,235.8314917127072,198.4005055248619,117.90632872928177,188.9720276243094,160.6912762430939
518,Філософія,Харківський національний університет імені В.Н. Каразіна,159.28995953757223,33.8150289017341,15.034682080924856,18.78034682080925,179.76538041907514,94.59537572254335,193.78517919075145,119.38106358381502,187.28232658959536,160.03433526011563
627,Філологія,Харківський національний університет імені В.Н. Каразіна,172.69777282468922,105.26832404629232,46.96628089727104,70655703.38691242,189.85456205583188,764.8648378339763,199.68029161308758,131.2074299185598,196.52546206600942,174.63614102014574
3118,Фізикатаастрономія,Харківський національний університет імені В.Н. Каразіна,171.23628385416666,85.3515625,19.6171875,65.734375,173.25343878933563,68.26041666666667,200.0,119.5695,196.93348697916667,146.66214322916667
3258,Туризм,Харківський національний університет імені В.Н. Каразіна,160.4835914941242,50.0,21.909904868494685,28.090095131505315,184.44010607569976,716.4325685506435,197.87291550083938,118.30989031897035,192.62716731952995,163.4088069390039
4232,Соціологія,Харківський національний університет імені В.Н. Каразіна,163.1942410454986,100.56631171345596,38.55663117134559,62.00968054211036,183.5161433292023,210.30493707647628,198.2868935140368,116.28651887705712,194.53922555663115,162.78089448209099
4605,Соціальнаробота,Харківський національний університет імені В.Н. Каразіна,150.7195274390244,44.51219512195122,14.121951219512194,30.390243902439025,170.30926145602365,113.36585365853658,191.70026829268292,113.57873170731708,178.99960975609758,148.4490243902439
4685,"Підприємництво,торгівлятабіржовадіяльність",Харківський національний університет імені В.Н. Каразіна,159.2878078250863,37.80207134637514,7.216340621403913,30.58573072497123,181.50106583922408,153.75719217491368,195.2089919447641,114.81029459148446,188.84482163406213,177.15173762945918
5005,Психологія,Харківський національний університет імені В.Н. Каразіна,159.47588385093175,106.94409937888199,47.0,59.94409937888199,179.24953080783263,563.5739130434782,197.93451242236026,117.87844658385093,193.89313416149068,146.2707397515528
5706,Прикладнафізикатананоматеріали,Харківський національний університет імені В.Н. Каразіна,163.88288483685216,56.463531669865645,30.4510556621881,26.01247600767754,165.19729827929802,124.07485604606526,198.54919577735123,117.95992802303263,193.88143282149713,141.79435700575817
6063,Прикладнаматематика,Харківський національний університет імені В.Н. Каразіна,177.27534662576687,130.0,20.920245398773005,109.079754601227,180.5023280214249,164.03680981595093,200.0,127.2356564417178,194.8090797546012,169.7579754601227
6239,Право,Харківський національний університет імені В.Н. Каразіна,161.27790217391288,200.0,26.0,174.0,183.2291839680939,1231.5722826086956,200.0,120.4511339673913,194.26820951086958,143.14003532608695
